BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR
307,0,31358,19248,17352,1,2,204,219,0,0,0,192,202,187
426,20,0,12930,7051,0,0,204,173,1,0,1,258,158,123
553,20,340383,17462,11662,7,15,82,53,1,0,1,89,46,36
175,0,59132,3878,2734,17,17,10,4,0,1,0,19,4,24
247,0,40880,8840,9384,1,14,174,163,1,1,0,174,142,109
165,32,4745,3133,3998,4,12,1,4,1,0,1,2,0,1
306,0,90292,13774,9311,1,3,245,212,1,0,0,231,256,115
985,58,9540,34157,26216,62,65,671,493,1,1,1,548,303,278
474,0,13250,17462,18490,40,54,353,601,1,0,0,583,538,34
182,0,43598,7046,6368,48,90,120,105,0,0,0,128,136,101
91,0,5135,2311,1476,47,47,9,6,0,1,0,23,15,17
140,0,21600,5029,5229,17,24,175,223,0,0,0,160,185,88
377,26,4379,15389,10491,1,6,159,142,0,1,1,168,177,105
108,0,27771,3907,4000,0,0,109,100,0,0,0,95,83,90
162,0,4101,6006,3806,43,82,85,89,0,0,0,106,88,55
30,0,24131,1094,1065,76,126,4,0,0,0,0,7,0,1
61,0,27321,3333,2588,1,1,46,68,0,0,0,62,60,46
98,0,32850,5118,4547,33,33,97,102,0,0,0,99,70,42
158,10,11186,5104,3904,54,54,59,50,1,0,1,67,50,75
407,44,79916,14737,7639,49,83,242,356,1,0,1,198,247,95
476,28,71414,17090,13544,0,0,314,406,1,0,1,318,354,115
96,0,60788,4191,3644,1,1,33,46,0,0,0,45,55,41
203,0,67785,7453,4673,0,0,95,131,1,0,0,98,86,90
379,51,2087,13876,8562,20,28,117,114,0,0,1,169,154,89
192,18,26400,7598,4682,116,150,183,210,1,0,1,131,168,71
101,0,11735,3871,4524,2,7,63,137,1,0,0,73,154,35
374,0,11759,14629,7086,5,29,188,140,1,1,0,193,98,107
287,0,33125,11812,9580,349,483,180,145,1,0,0,203,172,105
274,12,45801,10184,14185,15,15,121,126,1,1,1,107,119,90
239,0,92750,7505,7386,8,10,56,53,1,1,0,77,90,54
170,0,11660,5097,4043,0,25,80,69,1,0,0,89,68,73
172,0,22623,4041,5039,5,10,58,61,1,0,0,48,69,45
99,0,0,2775,3434,47,87,55,23,0,0,0,63,29,30
282,0,22870,11351,7475,194,291,210,217,0,1,0,196,204,118
266,0,22246,8747,6386,183,256,105,93,0,1,0,151,99,82
162,0,64240,5742,3833,128,132,77,44,0,0,0,60,40,81
302,0,38406,9109,5535,88,108,100,79,0,0,0,80,66,84
99,0,28052,5933,3408,0,3,53,40,0,0,0,68,34,44
86,0,19908,4599,2925,10,10,88,71,0,0,0,95,73,62
123,0,67350,5323,4449,65,129,57,63,0,0,0,61,53,34
213,0,28716,8339,7404,133,235,152,123,0,0,0,168,103,86
107,0,62057,5453,4158,25,31,64,46,0,0,0,68,50,56
430,0,119250,19501,8585,205,322,194,157,0,1,0,171,149,144
379,32,9262,17678,9379,56,61,69,55,1,1,1,64,54,75
154,0,36933,7612,6078,9,23,42,45,0,1,0,41,38,51
180,0,41955,6845,5614,2,2,64,47,0,1,0,61,46,77
250,0,7161,9094,5445,85,93,72,43,1,1,0,84,48,38
154,0,3425,8511,6182,0,1,41,42,0,1,0,48,69,42
175,0,36010,8659,5368,19,29,53,31,0,1,0,45,30,65
158,24,66423,6659,4771,100,240,50,38,1,1,1,55,32,69
657,44,2315,29508,16600,166,201,204,162,1,1,1,196,210,184
261,0,2302,8826,5722,129,144,158,79,1,1,0,124,59,66
229,15,26517,9251,6091,27,35,42,25,0,1,1,46,39,51
279,0,28002,9516,9261,33,33,66,56,0,0,0,55,58,60
152,0,21880,3419,3018,3,3,15,19,1,1,0,26,21,28
111,0,30590,4135,3048,61,87,43,23,0,1,0,42,22,60
331,0,183050,14495,13007,14,53,79,84,0,1,0,67,99,69
211,0,40532,6496,5315,29,43,45,16,0,1,0,41,40,65
382,0,94660,14626,11677,199,314,110,121,0,0,0,132,96,115
118,0,18398,6607,4804,43,59,65,24,0,1,0,57,26,59
122,0,10109,3472,2682,10,26,15,7,0,1,0,12,3,23
570,0,135602,31831,14169,4,5,146,194,1,1,0,133,167,125
254,0,3142,9696,6046,90,106,55,42,0,1,0,40,31,65
210,36,44029,8085,5266,46,71,37,22,0,0,1,42,30,43
106,106,33805,1454,0,99,164,0,0,1,0,1,0,0,0
327,0,5846,14412,15277,354,725,261,203,0,1,0,270,220,95
226,0,24856,10239,11446,30,30,50,32,0,1,0,63,34,64
447,24,13299,21398,11031,12,43,291,165,1,1,1,290,150,183
478,0,12321,18671,11189,93,165,104,69,1,1,0,99,65,103
221,0,127284,10785,6040,113,139,136,85,1,0,0,121,96,43
143,17,26259,4914,1787,53,53,51,21,0,0,1,60,33,42
427,0,38956,14741,8422,29,37,117,70,1,1,0,114,73,122
410,0,37620,12573,10159,5,15,79,53,0,0,0,82,57,68
236,0,37620,11158,9447,11,11,67,44,0,1,0,50,40,94
519,33,106973,19814,11641,32,72,112,112,0,0,1,121,108,110
230,0,47805,10527,5604,13,25,60,31,0,1,0,57,38,58
252,0,38426,11774,5137,21,45,54,23,0,1,0,44,27,66
452,18,185742,16609,11178,102,235,72,37,1,1,1,72,52,107
82,0,1135,4629,3280,17,17,36,16,0,1,0,29,18,32
209,64,31035,1922,719,5,5,0,0,1,0,1,1,0,0
827,37,146180,31028,15515,156,182,176,136,1,1,1,177,149,209
178,14,108859,7035,5011,65,106,42,25,0,1,1,28,0,36
358,0,10361,16905,7852,150,211,152,109,0,1,0,138,99,109
168,24,19875,6515,5986,17,17,51,42,0,1,1,45,61,48
242,0,53858,8745,8998,5,5,67,70,0,1,0,66,58,62
313,0,5208,13746,7236,39,47,124,68,0,0,0,100,82,84
459,32,76254,15566,11130,97,97,136,157,1,0,1,133,172,72
231,0,5639,9833,9304,75,103,87,70,1,1,0,74,62,120
159,0,51113,8674,6828,45,74,45,18,0,1,0,45,19,68
357,0,572228,14130,7123,269,360,19,6,1,1,0,24,3,62
684,0,129681,26788,21664,1148,2770,278,246,1,1,0,237,196,130
176,176,54433,2101,0,1209,2367,0,0,1,0,1,0,0,0
416,18,306880,18064,9289,101,171,23,25,1,0,1,34,32,28
1044,66,167139,30815,19238,58,95,234,198,1,0,1,275,237,118
894,0,448428,37780,11738,2,2,26,4,1,1,0,36,8,124
291,29,49472,13328,6096,17,18,35,11,1,0,1,44,17,55
262,0,143936,10261,2446,2,3,39,19,0,0,0,54,36,44
626,26,80317,21548,10173,82,152,101,107,1,1,1,75,69,51
463,24,256481,17372,11090,2,3,60,77,1,0,1,69,75,72
485,8,96442,12315,5272,5,7,23,20,1,0,1,31,19,28
248,22,14787,9779,5133,23,31,80,34,1,0,1,62,32,75
375,30,19682,15274,8847,19,19,145,89,1,0,1,145,88,141
227,0,28366,8338,5171,26,30,61,22,0,0,0,60,19,103
616,0,284759,25562,15082,4,34,148,123,1,1,0,156,118,73
295,38,80861,11159,6506,92,153,47,41,1,0,1,38,28,64
236,0,71451,7784,3228,11,11,51,8,1,0,0,45,8,69
70,70,0,0,0,0,3,12,2,0,0,1,7,0,18
394,0,139560,21137,9832,0,0,119,115,1,1,0,103,109,106
460,0,157620,15797,8639,96,124,34,34,1,1,0,43,26,81
425,16,14341,11910,10253,4,10,83,42,1,0,1,89,28,73
314,26,115203,9303,6596,27,27,74,108,0,1,1,70,96,74
208,0,65626,6343,4988,6,6,48,48,0,1,0,40,47,43
150,0,24141,5700,5024,5,5,58,54,0,1,0,73,57,70
117,0,22525,6110,3965,26,39,50,80,0,0,0,57,64,57
423,39,183986,15933,10303,46,60,163,181,1,1,1,149,187,148
296,0,131218,12006,9768,7,10,102,81,1,1,0,109,85,127
215,0,70499,9766,6742,43,86,57,63,1,1,0,55,77,79
258,20,147519,7685,3621,7,13,51,58,1,0,1,104,86,108
255,0,41961,9497,6442,2,2,104,96,1,1,0,70,62,44
101,0,8373,3500,2568,0,21,60,87,0,0,0,59,103,34
193,0,123155,6241,10407,0,0,89,119,0,1,0,89,101,69
448,39,190438,15241,17482,0,0,150,204,1,1,1,167,153,129
595,18,39540,23759,15356,6,6,139,136,1,1,1,133,139,140
166,0,40781,5442,3500,5,7,52,38,0,1,0,40,21,45
237,0,70086,10874,6209,23,29,110,82,0,1,0,114,112,78
202,25,36096,11752,8809,170,343,100,116,1,0,1,99,86,110
288,15,27800,12059,12650,93,174,161,142,1,1,1,165,142,85
173,0,6480,7730,4403,0,2,59,47,0,1,0,56,51,76
148,0,61016,5607,4728,86,86,60,44,0,1,0,45,33,54
194,0,42454,6607,6469,8,8,82,134,0,1,0,72,139,100
118,14,16722,1802,1684,17,17,15,3,0,1,1,9,5,10
372,25,104531,13116,8130,37,49,80,60,1,0,1,119,62,129
346,0,122580,13229,12779,238,446,125,249,1,0,0,140,251,94
152,7,93085,6520,5645,146,175,93,71,1,1,1,86,69,130
146,0,2451,7683,6287,120,123,80,84,0,1,0,84,98,68
106,0,23850,2984,1367,39,82,30,19,0,0,0,29,21,37
282,0,125235,9878,9601,30,50,75,87,1,1,0,63,102,119
297,0,74853,10857,11848,12,18,75,89,1,0,0,104,106,103
169,0,55167,5915,4119,46,83,52,21,0,1,0,66,25,53
620,0,1170,25690,22740,61,75,199,179,1,1,0,180,178,177
521,30,133635,18091,16080,58,62,193,147,1,1,1,199,179,156
272,0,3206,7909,3994,57,61,36,14,0,0,0,48,19,56
92,0,6000,1379,518,87,88,24,59,0,0,0,40,60,19
142,15,38040,5272,4221,19,20,50,37,0,0,1,47,28,50
116,0,40437,4252,2223,1,1,46,31,0,0,0,57,31,40
89,0,27420,3076,2393,34,44,53,30,0,0,0,58,25,38
369,12,35452,14158,14962,24,31,173,139,1,0,1,197,133,148
208,0,25989,5272,4351,44,138,41,32,0,0,0,24,29,43
424,14,39469,15618,9723,1,2,252,669,1,1,1,275,411,110
120,0,56923,4793,3160,2,59,45,44,1,0,0,61,40,69
205,16,26394,5072,3351,0,1,62,62,0,0,1,53,26,53
535,0,244618,11744,3960,74,74,37,19,1,0,0,50,35,46
94,28,2565,1070,1998,3,17,7,0,1,0,1,6,0,10
972,0,136851,31838,24183,10,11,169,121,1,1,0,143,136,171
312,0,232558,10962,8602,8,11,125,136,1,1,0,142,144,81
441,60,113009,15333,18545,171,317,141,136,1,0,1,139,137,149
142,0,19652,4171,2826,113,142,32,24,0,0,0,43,30,55
206,0,34005,6497,7503,97,167,88,83,0,0,0,91,70,86
746,0,76143,22037,16246,333,598,177,321,0,1,0,227,342,158
403,9,98253,10872,10000,35,96,145,122,1,0,1,118,77,88
386,22,53403,14083,9801,12,25,160,98,0,1,1,147,91,198
362,42,30084,14888,9158,0,0,77,76,1,0,1,103,61,103
734,48,178257,30386,23132,3,9,192,196,1,1,1,193,236,164
338,20,38541,11638,6821,12,35,70,69,0,1,1,78,51,87
132,0,25993,3610,2446,0,5,23,4,0,0,0,49,36,50
119,12,33995,2501,2040,78,105,26,25,0,0,1,29,22,42
248,16,27431,7215,7786,0,0,159,155,0,1,1,135,154,88
188,20,12139,6558,4743,95,160,41,23,0,0,1,47,33,44
40,0,8235,1196,1101,67,92,2,1,0,0,0,2,0,3
107,17,30343,3980,4601,9,9,63,52,0,0,1,53,35,30
130,9,14616,3083,2904,2,2,34,16,0,0,1,24,9,29
153,12,34460,6131,5722,4,4,73,56,0,1,1,87,64,141
76,11,7573,1792,816,12,14,9,4,0,0,1,8,0,15
215,0,242875,11956,4853,24,24,28,17,1,1,0,33,24,33
252,0,107886,6261,4798,2,2,56,74,1,0,0,68,74,41
255,12,59799,8871,7882,44,79,37,24,1,0,1,55,19,45
560,14,166278,20386,11943,14,18,210,160,1,1,1,235,205,132
250,16,33179,10018,10906,0,10,124,50,1,1,1,93,54,81
324,10,52595,9721,12120,67,87,87,57,1,1,1,88,69,74
284,6,150434,7201,4137,52,52,24,38,1,0,1,52,48,30
292,11,32610,7833,11882,61,87,80,62,1,0,1,91,82,89
445,18,59460,15720,15749,323,586,242,223,1,1,1,252,262,160
88,16,62495,3597,1572,7,7,0,0,1,0,1,0,0,1
165,26,104406,7220,4004,0,0,202,164,0,0,1,203,199,192
185,0,25825,6554,4870,4,9,83,189,0,0,0,101,177,61
329,30,28769,10526,11328,5,8,108,114,0,0,1,125,97,94
68,0,31832,1740,837,61,124,22,1,0,0,0,20,5,28
292,0,45720,9482,8698,87,235,71,40,0,0,0,70,65,61
285,10,34870,5707,10168,54,100,215,325,0,0,1,212,256,80
397,40,309849,12727,8832,0,1,37,38,1,1,1,75,58,119
122,0,54473,3717,2226,44,76,49,99,0,0,0,54,73,36
170,0,14879,5735,3571,8,28,105,79,0,0,0,55,73,78
233,0,51952,2930,1414,3,3,199,172,1,0,0,172,128,190
836,35,147309,28504,21635,23,39,344,377,0,1,1,412,376,282
129,9,60222,1097,1286,0,5,11,8,0,0,1,19,7,23
109,8,28632,2474,2456,1,1,30,34,0,0,1,20,31,33
149,0,41454,6530,5059,4,4,71,50,0,0,0,65,54,67
225,5,110676,3778,1949,41,56,22,22,1,0,1,20,17,9
301,24,45961,9542,6212,4,4,50,52,1,0,1,57,37,51
464,15,334327,17049,12054,44,72,73,47,1,0,1,108,52,76
276,0,21429,8615,5012,12,12,47,53,0,0,0,66,71,53
333,0,77665,13102,13266,37,73,82,108,0,0,0,118,95,91
80,80,8387,686,0,11,14,0,0,0,0,1,0,0,0
400,0,74411,7757,8613,115,218,85,156,0,0,0,100,109,51
85,0,24962,2566,2347,0,2,71,58,0,0,0,71,61,43
331,0,47450,10743,8650,0,0,172,170,1,0,0,175,198,129
311,0,49500,10787,9246,0,0,197,209,1,0,0,194,242,143
134,0,20203,4374,4074,28,61,49,61,0,0,0,51,87,44
135,0,11329,2709,2957,3,3,105,170,0,0,0,91,146,11
566,0,111156,25283,24150,3,11,252,363,1,1,0,239,262,180
618,0,73421,21841,16038,0,2,221,254,1,1,0,216,214,159
506,38,182400,15609,9347,8,20,85,88,1,1,1,104,98,117
85,0,32309,3378,3582,39,122,76,105,0,0,0,72,99,64
187,0,45294,6800,5299,142,201,128,140,1,0,0,137,107,83
156,0,42088,3183,4489,33,61,84,95,1,0,0,97,93,54
142,6,66877,6233,5151,60,126,75,90,0,0,1,88,100,87
139,0,60202,4309,3394,0,0,98,101,0,0,0,74,130,55
77,0,47101,3049,2627,102,150,37,14,0,0,0,45,24,35
100,0,23112,3876,5722,6,10,54,55,0,0,0,60,58,77
290,0,77675,9558,13130,27,87,140,124,1,0,0,116,91,74
559,20,31800,12894,16128,186,310,189,209,1,0,1,201,208,97
349,54,124425,8027,8092,68,87,59,55,0,1,1,58,67,54
369,0,49900,12667,11399,32,32,226,261,1,0,0,201,232,142
301,0,229344,10347,6430,88,106,50,38,1,1,0,80,44,81
241,0,63718,7987,6550,44,68,83,93,1,1,0,99,96,102
296,0,117854,11786,10447,72,109,245,355,1,0,0,278,333,96
60,60,0,618,0,44,49,0,0,0,0,1,0,0,0
218,0,39502,7241,9703,49,59,102,103,1,0,0,115,141,100
64,0,27346,1982,1818,2,2,43,32,0,0,0,37,32,59
180,0,12985,6131,8353,4,4,128,216,0,1,0,140,172,102
163,0,43974,6184,8124,255,529,192,237,0,0,0,170,224,96
119,0,62109,3788,3579,18,56,67,31,0,0,0,52,29,62
198,0,42637,6974,6079,0,2,125,102,0,0,0,109,89,87
455,0,61110,16693,11327,409,586,136,134,1,0,0,138,136,125
367,0,0,14525,18102,28,34,67,56,0,0,0,60,59,102
272,0,0,7883,5452,191,372,57,67,1,0,0,58,57,39
262,0,182560,8499,6435,4,5,46,65,1,0,0,59,74,36
194,109,0,1078,137,191,212,0,1,0,0,1,1,0,3
397,0,8880,9099,5467,106,148,71,75,1,0,0,67,74,70
355,0,118625,12198,6219,67,112,73,80,1,0,0,73,86,78
206,0,0,6034,5367,56,132,48,31,0,0,0,45,44,81
55,55,0,75,1097,3,3,1,2,0,0,1,1,2,1
502,0,271019,17906,11138,19,31,93,120,1,0,0,111,78,78
215,0,36045,8133,5758,12,28,34,31,0,0,0,34,52,53
124,0,0,3306,2943,4,4,16,10,0,1,0,13,10,46
245,0,0,10188,7017,0,2,56,67,0,0,0,54,94,65
123,0,17155,5472,2199,88,101,30,20,0,0,0,17,16,32
275,0,31755,10578,10855,82,162,22,37,0,1,0,39,46,69
304,25,31762,10381,14395,282,535,97,150,0,1,1,72,134,81
286,0,11622,9611,6099,141,270,73,125,1,1,0,78,124,69
245,0,25550,8700,7420,121,136,60,55,0,0,0,56,49,54
349,0,35405,11606,7663,10,17,73,60,1,0,0,74,68,78
660,41,31025,21987,28482,33,41,232,245,1,0,1,182,231,176
80,80,0,544,0,10,11,0,0,0,0,1,0,0,0
369,0,41795,953,4353,116,159,56,66,1,0,0,70,88,65
430,0,0,19129,8365,0,0,24,23,1,1,0,49,45,209
110,0,12952,4358,4418,85,118,65,79,0,0,0,78,92,49
493,21,280258,16977,11664,251,359,160,116,1,0,1,144,93,129
450,0,29200,14668,7817,150,199,123,119,0,0,0,123,156,99
129,0,12775,6004,4771,73,153,80,52,0,0,0,70,58,60
90,90,0,662,0,17,40,0,0,0,0,1,0,0,0
166,0,49885,8149,4676,93,135,59,66,0,0,0,53,97,70
233,0,27375,8462,5939,63,139,56,91,0,0,0,72,60,61
359,0,21535,13383,7986,50,70,96,102,0,0,0,103,102,80
375,28,36183,12528,8605,0,0,101,65,1,0,1,108,90,132
114,47,4489,744,0,0,6,0,0,0,0,1,0,0,0
155,0,17914,6440,3622,0,3,47,33,0,0,0,53,33,47
274,0,75563,8867,5847,0,5,99,76,0,0,0,116,86,86
106,0,16384,4743,3170,12,14,35,15,0,0,0,39,27,74
113,20,15467,4419,2135,2,3,18,0,0,0,1,15,0,23
203,0,25998,8673,6278,1,1,80,56,0,0,0,73,67,90
60,60,5847,662,0,8,9,0,0,0,0,1,0,0,0
269,14,168991,9088,11091,4,4,1,2,1,0,1,1,2,93
595,0,70242,20724,12861,114,137,238,251,1,0,0,279,291,185
324,0,147345,11243,7186,77,79,123,75,1,1,0,144,79,114
304,0,15178,9466,7512,23,28,54,66,0,0,0,109,78,57
690,0,36098,23634,17859,8,19,201,235,1,1,0,210,235,231
541,0,438000,17789,22872,6,6,49,48,1,0,0,52,64,64
325,0,35783,14329,9588,39,39,205,125,0,0,0,207,141,202
54,54,7376,647,0,14,14,0,0,0,0,1,0,0,0
144,0,6677,5305,2070,147,327,60,73,0,0,0,80,88,50
148,0,80363,4311,3838,25,33,52,19,0,0,0,46,19,57
146,0,32942,7477,6311,7,7,106,109,0,0,0,117,117,74
207,0,47195,10609,8822,89,154,97,87,1,1,0,98,71,136
80,40,4329,549,0,95,152,0,0,0,0,1,0,0,0
148,0,21124,6341,5561,15,24,65,26,0,0,0,62,32,66
222,0,25789,7078,4027,59,115,82,203,1,0,0,71,158,69
475,0,34538,17362,19557,115,200,176,176,1,0,0,150,191,129
132,62,5499,816,0,12,16,0,0,0,0,1,0,0,0
343,0,33165,13598,11242,17,35,162,105,1,0,0,150,102,130
156,0,4658,4052,2445,0,3,52,44,0,0,0,36,75,55
107,0,2957,2919,2765,79,107,33,33,0,0,0,40,38,44
228,0,10867,9880,6054,127,268,127,64,0,0,0,112,66,123
400,24,60350,13915,8928,54,68,78,43,1,0,1,67,44,76
66,66,0,675,0,33,54,0,0,0,0,1,0,0,0
102,0,0,1953,3072,30,74,380,556,1,0,0,397,585,95
305,0,26974,11906,11575,6,13,41,40,1,0,0,77,55,56
289,8,190274,8391,3844,10,10,51,39,1,0,1,35,47,29
288,29,80705,10917,9895,26,26,88,49,0,0,1,104,57,111
163,0,21030,7050,5341,24,60,66,74,0,0,0,66,60,83
565,20,36617,21191,12444,528,1031,141,115,1,0,1,164,100,128
206,0,18184,8254,6817,143,230,72,22,0,0,0,81,26,109
172,0,34748,5372,4761,0,3,16,19,0,1,0,22,17,63
285,0,45063,11283,8176,24,77,75,46,1,0,0,69,58,109
173,18,16571,5535,3620,196,198,98,86,0,1,1,95,80,110
251,29,33083,8247,5408,20,64,49,33,0,1,1,63,35,72
100,13,18881,3557,3582,10,25,25,10,0,0,1,30,7,46
107,0,5225,3994,2690,5,9,86,97,0,0,0,65,90,65
168,20,29641,5118,5326,87,118,90,87,1,1,1,87,64,59
96,0,19261,1718,2824,37,56,45,75,1,0,0,50,78,49
63,20,8461,1660,1599,0,2,18,2,0,0,1,18,2,22
97,0,52892,5026,3507,22,29,97,54,0,0,0,92,39,55
560,20,38229,21841,18781,166,267,267,244,1,0,1,259,225,182
410,0,33177,14431,5807,31,32,90,51,1,0,0,85,36,98
351,0,18138,12217,4831,4,13,97,54,0,0,0,101,81,88
642,0,131863,29150,29595,135,205,310,318,1,1,0,340,353,353
281,26,31696,9687,6997,64,156,81,66,0,0,1,107,58,125
147,19,10600,4691,3497,2,2,40,13,0,0,1,40,19,70
106,0,5300,3788,3037,8,13,52,24,1,0,0,62,19,74
133,0,22825,6096,4375,2,2,53,31,0,0,0,62,43,60
230,0,22667,5924,3914,42,64,38,30,0,0,0,55,33,76
153,19,22405,5899,4155,50,52,44,28,0,0,1,56,38,71
216,18,77745,10118,9819,3,3,57,32,0,0,1,60,54,85
60,60,3603,590,0,135,164,0,0,0,0,1,0,0,0
223,0,37112,12110,11385,30,46,63,41,0,0,0,47,39,96
148,13,11991,3167,2390,13,31,33,16,0,0,1,40,13,28
195,0,26140,7521,5743,25,42,80,49,0,0,0,56,36,88
155,30,15021,4939,4465,2,2,32,19,0,0,1,35,36,67
142,0,7470,3440,1974,60,102,27,21,0,0,0,15,29,27
376,15,32923,14860,8608,10,17,99,96,1,1,1,95,113,130
212,0,20357,7729,4981,9,9,102,39,0,0,0,89,55,118
130,92,22174,1419,417,8,8,1,4,1,0,1,5,1,1
509,18,52295,21436,22641,156,306,130,123,1,0,1,162,124,104
582,24,132568,24621,17845,0,45,471,378,1,0,1,539,270,205
887,15,630261,41988,13811,21,25,75,39,1,1,1,85,45,143
388,0,88615,15688,9648,17,17,161,252,1,0,0,177,176,74
66,66,2101,136,0,1,1,0,0,0,0,1,0,0,0
143,0,25534,7367,4568,4,4,70,10,1,0,0,54,42,88
954,0,308899,34020,25527,275,467,342,355,1,0,0,389,317,238
92,92,6724,714,0,16,38,0,0,1,0,1,0,0,0
122,0,11298,4576,2670,1,1,45,15,0,0,0,49,16,75
179,18,22905,6018,8272,120,153,54,62,0,1,1,73,76,93
157,0,23979,6148,6942,16,30,92,99,0,0,0,108,121,83
388,0,28219,15011,8900,47,73,84,36,0,0,0,89,43,125
40,40,8109,297,0,16,16,0,0,0,0,1,0,0,0
243,0,42691,8938,6228,119,170,115,43,0,0,0,143,41,87
261,24,67014,13951,8057,7,7,100,82,0,1,1,97,76,96
70,0,18657,3811,5404,5,5,28,31,0,0,0,49,44,42
80,0,14777,2856,1668,112,168,21,25,0,0,0,19,19,22
303,26,23733,8714,9502,50,101,164,153,0,0,1,166,154,142
267,0,25616,17816,10947,33,74,126,174,1,1,0,151,187,125
121,0,19514,3626,1830,113,139,17,8,0,0,0,25,12,47
191,15,23149,7130,5324,4,4,26,13,0,0,1,41,17,84
155,20,19784,5594,7471,75,75,85,62,0,0,1,67,55,72
102,0,11798,4987,6062,25,26,49,42,0,0,0,68,66,69
365,0,53906,17112,18156,48,84,88,63,0,0,0,111,95,126
223,18,36585,6858,4075,11,26,31,28,0,0,1,37,15,50
60,60,11448,457,0,22,22,0,0,0,0,1,0,0,0
157,22,34315,4112,3339,7,7,19,19,0,0,1,28,19,30
80,0,37878,3587,2341,32,67,30,42,0,0,0,37,57,45
60,60,2073,355,0,24,24,0,0,0,0,1,0,0,0
599,42,45123,23293,19295,215,291,295,270,1,1,1,342,352,204
275,15,8784,10062,10176,75,133,149,113,0,0,1,151,131,123
228,25,23001,6297,4756,96,125,69,25,0,0,1,50,35,70
229,24,10811,5780,4711,37,56,55,67,0,0,1,69,98,36
60,60,8389,609,0,154,232,0,0,0,0,1,0,0,0
154,0,37839,5653,4105,36,45,41,21,0,0,0,55,23,66
151,10,14473,4889,3441,14,23,51,21,0,0,1,46,33,66
76,0,9011,3962,3795,83,111,31,27,0,0,0,37,36,40
228,0,13269,7382,7857,156,348,143,99,1,0,0,141,108,133
238,10,36385,8541,6678,80,147,88,72,1,0,1,102,87,81
60,60,0,0,0,24,28,0,0,0,0,1,0,0,0
75,0,3597,3032,2731,0,35,30,33,0,0,0,46,50,64
98,0,5369,3641,3100,48,49,59,52,0,0,0,58,51,57
353,18,31391,15499,11848,57,63,156,192,1,0,1,176,235,163
224,0,823965,15982,7027,5,5,31,30,0,1,0,26,0,38
318,19,45860,12935,11186,144,191,150,140,1,0,1,145,108,179
136,0,17799,7360,4750,45,75,62,40,1,0,0,81,66,109
156,10,46328,5771,2815,17,22,64,38,0,0,1,51,57,64
215,14,12787,8471,6084,137,218,100,127,0,1,1,83,133,111
148,12,68499,7051,5938,150,156,40,43,0,0,1,176,222,230
544,0,59135,20490,14955,21,21,107,133,1,0,0,107,141,80
390,0,19708,9488,9171,379,634,142,112,0,0,0,118,119,56
154,20,15126,2113,2316,2,3,42,4,0,0,1,24,2,15
407,0,31627,13938,10339,116,188,95,65,0,0,0,126,69,79
373,0,43392,18484,4839,0,0,19,0,1,0,0,34,14,229
313,28,5737,4616,4570,14,32,31,11,0,0,1,28,15,52
1117,45,247989,34329,34167,310,516,545,524,1,0,1,512,510,165
575,14,13635,23973,14813,173,434,78,52,1,1,1,89,56,110
92,92,6198,735,269,115,283,0,0,1,0,1,0,0,0
696,25,43202,29368,17126,96,247,143,122,1,0,1,186,123,132
281,48,4593,2926,4708,13,25,20,34,1,0,1,10,18,17
353,0,42011,7270,6232,56,73,63,78,0,0,0,43,65,44
202,20,26168,3582,4011,14,20,25,13,0,0,1,16,20,12
164,33,19179,4312,2509,26,38,57,25,0,0,1,46,18,43
432,32,45059,18197,15340,143,260,205,215,1,0,1,239,239,196
187,23,15519,6410,3526,13,56,12,0,0,0,1,10,4,41
129,129,14652,650,0,60,101,0,0,0,0,1,0,0,1
393,0,68495,15547,13039,2,7,93,87,0,0,0,81,130,81
80,80,5828,685,0,7,7,0,0,0,0,1,0,0,0
120,0,12603,4351,5069,8,8,13,5,0,1,0,22,14,21
60,60,3000,374,0,21,21,0,0,0,0,1,0,0,0
320,24,41419,9518,4465,38,38,30,6,0,0,1,32,29,44
191,20,1825,2827,2600,16,17,12,10,0,0,1,14,15,14
819,18,381286,24581,13990,0,0,59,66,1,1,1,73,79,135
165,0,33926,5416,3218,2,3,33,26,0,0,0,44,61,66
101,9,13210,1616,1050,17,17,6,5,0,0,1,13,12,14
467,0,65136,10859,7365,44,61,52,80,0,0,0,70,97,80
60,60,4733,467,0,3,3,0,0,0,0,1,0,0,0
84,0,5069,2359,2111,16,27,7,4,0,1,0,1,4,12
202,0,10448,5483,4045,101,131,40,52,0,0,0,49,40,37
276,11,43742,7027,5875,3,14,20,14,0,0,1,34,24,48
225,0,9600,5462,3802,1,4,33,29,0,0,0,31,38,53
373,38,204886,20732,10202,54,70,140,130,0,0,1,162,142,140
60,60,10750,695,0,0,7,0,0,0,0,1,0,0,0
178,0,35600,8195,7058,124,141,65,81,0,0,0,78,72,68
104,0,17321,4208,3647,37,47,39,52,0,0,0,42,61,49
205,10,34150,7039,4406,147,166,64,73,0,0,1,78,78,93
233,0,17663,6923,6727,132,155,47,51,0,0,0,49,72,41
77,0,22582,3659,3822,116,199,66,78,0,0,0,57,80,47
75,0,4453,3415,2828,50,53,38,42,0,0,0,59,52,63
406,0,42665,15274,14810,89,121,212,154,1,1,0,206,266,293
111,0,22090,2672,3866,7,7,50,99,0,0,0,78,98,42
194,0,21351,5159,4620,26,31,83,60,1,0,0,83,91,113
