BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR,SALES_GROWTH,TOTAL_OPS,SALES_PER_BED
168,0,31800,8079,4074,45,79,164,99,0,0,0,117,67,143,-34,327,0.26785714285714285
372,0,56725,18293,8882,163,257,124,111,1,1,0,74,98,53,-94,225,0.4381720430107527
709,0,11565,50040,16359,4,5,366,280,1,1,0,281,206,190,-1,677,0.005641748942172073
420,0,0,16578,12152,2,4,74,50,1,1,0,94,62,110,-2,266,0.004761904761904762
327,0,89916,12847,12230,35,78,99,86,0,0,0,117,84,87,-43,288,0.10703363914373089
680,172,0,28855,12818,419,501,46,43,1,1,1,66,20,129,-82,215,0.6161764705882353
316,0,18285,7226,6483,13,13,60,41,0,0,0,69,45,61,0,175,0.04113924050632911
453,6,35510,20651,13754,5,12,99,68,1,0,1,86,88,79,-7,253,0.011037527593818985
269,0,52470,7551,6559,1,2,22,7,1,1,0,25,20,37,-1,82,0.0037174721189591076
186,0,23320,5075,7824,99,145,85,97,1,0,0,90,99,35,-46,224,0.532258064516129
492,0,16695,14139,5123,77,145,96,88,1,1,0,134,108,38,-68,280,0.1565040650406504
345,48,38425,9400,9462,8,8,71,44,1,0,1,100,51,77,0,228,0.02318840579710145
311,0,0,14202,14546,5,7,167,176,0,0,0,183,140,94,-2,417,0.01607717041800643
298,20,43725,9678,11449,11,11,97,100,0,0,1,127,105,94,0,326,0.03691275167785235
292,0,52735,14382,10925,72,77,63,25,0,0,0,97,54,72,-5,223,0.2465753424657534
877,0,17225,43817,25057,87,93,518,382,1,0,0,435,293,101,-6,829,0.09920182440136831
221,37,323098,9384,5552,6,12,67,35,1,1,1,69,54,70,-6,193,0.027149321266968326
257,0,46375,4065,4918,55,107,53,29,0,0,0,55,40,39,-52,134,0.2140077821011673
507,0,215097,20594,14169,59,100,159,121,1,0,0,170,136,127,-41,433,0.11637080867850098
545,15,226098,25674,18589,135,290,268,444,1,0,1,0,0,0,-155,0,0.24770642201834864
310,0,29150,10146,5164,226,552,37,23,1,0,0,401,433,262,-326,1096,0.7290322580645161
139,70,0,2028,0,579,906,0,0,0,0,1,0,0,0,-327,0,4.16546762589928
157,0,55065,6089,3517,68,114,42,41,0,0,0,47,36,49,-46,132,0.43312101910828027
472,0,99375,16017,11110,270,463,88,66,0,0,0,115,82,76,-193,273,0.5720338983050848
93,69,22745,967,0,77,112,0,0,0,0,1,0,0,0,-35,0,0.8279569892473119
210,0,0,7586,5199,54,98,20,34,0,0,0,53,37,39,-44,129,0.2571428571428571
249,32,0,7887,8012,187,376,138,95,1,0,1,125,73,138,-189,336,0.751004016064257
680,0,0,20754,16964,115,262,138,112,1,1,0,133,102,150,-147,385,0.16911764705882354
141,0,0,8370,3486,28,30,30,16,0,0,0,45,34,55,-2,134,0.19858156028368795
220,0,38425,4860,3526,0,9,46,51,0,0,0,51,36,59,-9,146,0.0
153,15,0,5199,3889,1,25,58,47,0,0,1,39,57,38,-24,134,0.006535947712418301
96,0,0,4456,4671,10,10,52,29,0,0,0,51,36,50,0,137,0.10416666666666667
484,39,103350,13405,10100,36,117,111,130,1,1,1,109,131,97,-81,337,0.0743801652892562
682,0,112625,21533,12458,42,46,169,115,1,1,0,197,139,172,-4,508,0.06158357771260997
183,16,0,6296,6143,4,14,39,33,0,0,1,39,37,31,-10,107,0.02185792349726776
215,0,0,3879,4022,3,5,30,37,0,0,0,29,36,56,-2,121,0.013953488372093023
123,0,23850,2798,3884,22,26,53,45,0,0,0,91,63,78,-4,232,0.17886178861788618
215,0,38955,8054,6826,6,7,43,32,0,0,0,43,40,59,-1,142,0.027906976744186046
317,15,34450,11364,7447,0,0,78,71,0,0,1,114,77,92,0,283,0.0
81,0,0,3541,5205,22,22,47,27,0,0,0,45,26,51,0,122,0.2716049382716049
404,25,39220,14689,8387,63,85,162,86,1,0,1,159,118,170,-22,447,0.15594059405940594
116,116,0,352,0,146,418,0,0,1,0,1,0,0,0,-272,0,1.2586206896551724
675,10,11925,22332,21877,80,193,200,162,1,0,1,261,177,102,-113,540,0.11851851851851852
662,15,0,22948,10473,94,132,41,16,1,1,1,42,27,95,-38,164,0.1419939577039275
265,15,17225,7161,6526,30,49,92,96,1,0,1,93,118,71,-19,282,0.11320754716981132
688,40,0,21888,13616,18,32,128,150,1,1,1,155,137,136,-14,428,0.02616279069767442
550,29,2653,13868,18158,38,44,119,97,1,0,1,124,111,101,-6,336,0.06909090909090909
233,20,26235,8203,4536,64,147,86,48,0,0,1,75,80,113,-83,268,0.27467811158798283
202,24,12985,8019,6705,4,8,103,87,1,0,1,121,91,76,-4,288,0.019801980198019802
320,0,0,15783,13732,107,125,47,30,0,0,0,53,0,33,-18,86,0.334375
160,0,46375,8570,6664,13,44,56,41,0,0,0,75,33,113,-31,221,0.08125
198,12,28800,5299,3862,10,12,30,14,1,0,1,41,12,40,-2,93,0.050505050505050504
398,0,92750,10304,9306,40,85,87,46,1,0,0,92,62,74,-45,228,0.10050251256281408
560,0,38955,18806,18523,130,153,135,113,1,0,0,163,132,140,-23,435,0.23214285714285715
457,34,40015,23110,14062,105,171,90,114,1,1,1,108,104,89,-66,301,0.22975929978118162
757,33,0,27694,17901,284,469,149,114,1,1,1,202,111,156,-185,469,0.3751651254953765
477,0,51600,26572,15075,24,51,246,370,1,0,0,224,270,134,-27,628,0.050314465408805034
56,0,47700,2447,3778,4,9,1,1,0,1,0,5,0,10,-5,15,0.07142857142857142
218,15,53000,8887,9090,148,163,77,61,0,1,1,83,71,90,-15,244,0.6788990825688074
192,0,59625,10204,9098,93,110,62,81,1,0,0,63,59,60,-17,182,0.484375
269,20,33021,8029,8108,30,40,56,32,0,0,1,49,16,42,-10,107,0.11152416356877323
184,0,0,9910,9387,30,50,71,72,0,0,0,82,74,96,-20,252,0.16304347826086957
331,16,92750,13803,9001,4,5,110,124,0,0,1,106,104,97,-1,307,0.012084592145015106
243,0,71550,6333,6216,0,8,105,94,0,0,0,104,96,78,-8,278,0.0
181,0,72000,7309,6669,38,60,84,122,0,0,0,114,133,55,-22,302,0.20994475138121546
111,0,23320,4899,5223,24,26,52,56,0,0,0,52,57,25,-2,134,0.21621621621621623
342,0,104969,8268,8056,58,105,81,53,0,0,0,64,36,54,-47,154,0.1695906432748538
425,0,260111,16236,12695,0,0,132,84,1,0,0,140,125,143,0,408,0.0
60,0,9852,1665,4829,22,56,341,534,0,0,0,381,447,24,-34,852,0.36666666666666664
590,0,21900,19182,13982,42,48,174,71,1,1,0,193,60,76,-6,329,0.0711864406779661
410,0,287096,17725,6882,37,41,33,17,1,1,0,43,24,87,-4,154,0.09024390243902439
1011,0,179060,41852,33581,14,14,315,288,1,1,0,316,333,264,0,913,0.013847675568743818
265,26,32106,4687,4266,8,8,19,19,0,0,1,19,6,19,0,44,0.03018867924528302
525,0,54750,25956,31824,2,23,166,171,1,0,0,249,161,213,-21,623,0.0038095238095238095
687,0,0,28589,28520,167,240,302,334,1,1,0,339,358,239,-73,936,0.2430858806404658
330,0,94060,7442,8182,3,3,89,109,0,0,0,101,101,40,0,242,0.00909090909090909
343,0,22525,7926,3931,78,97,44,50,0,1,0,43,49,35,-19,127,0.22740524781341107
405,0,330669,16218,9386,145,220,98,73,0,1,0,103,78,107,-75,288,0.35802469135802467
277,0,41592,17032,9844,115,136,82,93,0,0,0,90,111,75,-21,276,0.4151624548736462
172,8,34393,5732,4555,82,161,39,10,0,0,1,49,20,36,-79,105,0.47674418604651164
379,0,123262,12600,9504,101,318,97,107,0,0,0,91,93,105,-217,289,0.26649076517150394
302,0,21900,13116,12395,2,3,65,39,1,0,0,57,28,53,-1,138,0.006622516556291391
367,0,60509,10720,9732,40,42,116,81,1,0,0,91,121,84,-2,296,0.10899182561307902
160,0,62060,6367,5016,4,4,39,53,0,0,0,46,32,79,0,157,0.025
386,33,45820,14082,11026,22,22,175,301,1,1,1,150,208,96,0,454,0.05699481865284974
107,14,13740,3267,2930,2,2,12,8,0,0,1,14,8,16,0,38,0.018691588785046728
306,26,117204,11544,21820,36,36,272,320,1,0,1,220,242,122,0,584,0.11764705882352941
310,0,150000,9599,10060,175,443,88,79,1,1,0,69,59,83,-268,211,0.5645161290322581
443,0,146989,15376,17362,97,271,177,104,1,1,0,183,171,114,-174,468,0.21896162528216703
611,0,210006,21795,18035,0,32,358,346,1,1,0,349,377,230,-32,956,0.0
161,0,100050,8490,5823,63,86,47,24,0,0,0,33,27,55,-23,115,0.391304347826087
30,30,0,385,0,11,11,0,0,0,0,1,0,0,0,0,0,0.36666666666666664
189,0,85369,4552,5685,16,32,23,13,0,1,0,25,12,32,-16,69,0.08465608465608465
112,0,36898,3938,6269,56,72,58,38,0,0,0,50,32,47,-16,129,0.5
247,0,103869,9162,6712,27,27,52,100,0,0,0,70,68,78,0,216,0.10931174089068826
114,0,29061,2571,1475,0,2,12,0,0,1,0,7,8,28,-2,43,0.0
186,0,36019,7629,4651,3,9,34,31,0,0,0,57,36,59,-6,152,0.016129032258064516
266,0,60896,9611,7441,2,2,63,37,0,0,0,59,51,75,0,185,0.007518796992481203
248,24,70089,11663,9088,2,2,105,95,0,0,1,89,76,80,0,245,0.008064516129032258
512,0,135069,18318,11146,5,5,163,149,1,0,0,213,177,189,0,579,0.009765625
281,0,53969,9671,8042,0,0,103,54,0,0,0,83,73,112,0,268,0.0
285,0,202960,11779,10142,22,22,87,39,0,0,0,78,28,85,0,191,0.07719298245614035
107,0,15896,2956,1745,53,97,28,20,0,0,0,19,16,25,-44,60,0.4953271028037383
107,0,78394,3609,4189,1,1,66,103,0,0,0,55,93,56,0,204,0.009345794392523364
262,0,122813,10093,6307,0,0,119,112,0,0,0,107,81,108,0,296,0.0
347,0,102069,9970,7461,0,4,64,72,0,0,0,74,73,86,-4,233,0.0
60,60,0,518,0,5,12,0,0,0,0,1,0,0,0,-7,0,0.08333333333333333
445,0,63063,16675,14164,277,496,141,113,1,0,0,161,177,151,-219,489,0.6224719101123596
478,0,155341,16558,11076,40,64,121,114,1,0,0,129,129,106,-24,364,0.08368200836820083
289,12,127784,11639,12940,107,133,56,25,1,1,1,63,14,146,-26,223,0.370242214532872
377,0,72006,9702,8714,1,6,104,141,0,0,0,120,129,88,-5,337,0.002652519893899204
235,0,74006,7370,8271,0,4,93,79,0,0,0,96,74,78,-4,248,0.0
264,0,59066,8979,6454,0,0,139,166,0,0,0,174,179,33,0,386,0.0
875,0,472006,35393,30431,3,7,350,230,1,1,0,392,319,234,-4,945,0.0034285714285714284
462,0,208616,23779,17213,2,4,170,131,1,1,0,122,131,130,-2,383,0.004329004329004329
539,0,55650,24572,19468,52,61,263,281,1,1,0,278,330,152,-9,760,0.09647495361781076
854,0,665099,30283,26438,139,212,178,108,1,0,0,173,114,75,-73,362,0.16276346604215455
615,0,214960,22027,22043,12,17,144,138,1,0,0,187,190,126,-5,503,0.01951219512195122
263,0,44216,10803,5836,0,0,88,68,0,0,0,82,91,97,0,270,0.0
247,0,94066,10836,10987,38,141,108,81,0,0,0,105,96,108,-103,309,0.15384615384615385
182,0,33790,8005,8615,12,61,51,33,0,0,0,44,26,61,-49,131,0.06593406593406594
343,0,131060,10875,10014,63,70,81,55,0,0,0,97,67,66,-7,230,0.1836734693877551
369,0,100009,18462,12253,128,314,192,213,1,0,0,260,210,53,-186,523,0.34688346883468835
290,0,19060,10448,6255,2,10,22,0,1,1,0,21,0,145,-8,166,0.006896551724137931
806,0,1986530,37016,15701,154,154,275,160,1,1,0,237,153,189,0,579,0.19106699751861042
275,0,87011,11323,8046,10,11,148,231,1,0,0,166,183,83,-1,432,0.03636363636363636
478,0,187316,22486,13666,1,1,106,88,1,0,0,92,100,91,0,283,0.0020920502092050207
565,0,99696,22108,15116,48,76,157,164,1,1,0,126,128,104,-28,358,0.08495575221238938
236,0,78699,11080,9267,0,0,74,99,0,0,0,96,100,57,0,253,0.0
305,0,109961,10360,8166,2,2,101,135,0,0,0,122,126,92,0,340,0.006557377049180328
449,0,128960,17205,10331,135,145,138,94,1,1,0,121,103,92,-10,316,0.30066815144766146
130,0,16998,6439,3615,0,5,43,18,0,0,0,49,24,67,-5,140,0.0
423,0,102601,16200,12717,42,89,88,65,1,1,0,79,80,102,-47,261,0.09929078014184398
359,0,39585,13746,12799,146,335,88,48,0,0,0,103,70,61,-189,234,0.40668523676880225
381,0,186011,11891,11273,0,3,165,200,1,0,0,207,250,115,-3,572,0.0
261,0,30010,10073,12248,13,34,46,51,1,0,0,47,52,39,-21,138,0.04980842911877394
310,0,80020,10971,11429,28,55,133,160,1,1,0,140,150,87,-27,377,0.09032258064516129
277,0,67060,12291,10609,21,26,43,54,1,0,0,66,61,40,-5,167,0.07581227436823104
259,0,79000,13502,7842,0,0,146,192,1,0,0,159,159,88,0,406,0.0
341,0,8617,14569,8747,68,97,96,105,0,0,0,101,111,91,-29,303,0.19941348973607037
258,0,65006,8599,9236,12,12,182,191,1,0,0,170,153,73,0,396,0.046511627906976744
479,0,96945,18392,15637,16,23,120,133,1,0,0,121,123,87,-7,331,0.033402922755741124
375,0,148664,15745,11317,31,164,145,169,1,1,0,184,215,110,-133,509,0.08266666666666667
442,0,164096,14900,15000,9,28,129,111,1,1,0,122,97,112,-19,331,0.020361990950226245
209,0,29150,5640,6475,0,0,83,55,0,0,0,117,71,92,0,280,0.0
130,0,60161,4126,4232,6,6,53,61,0,0,0,58,49,46,0,153,0.046153846153846156
309,0,130969,11207,9248,17,23,77,97,0,0,0,81,69,62,-6,212,0.05501618122977346
432,0,145061,14872,9448,0,0,150,132,0,0,0,155,132,114,0,401,0.0
177,0,60265,7362,6087,1,1,76,58,0,0,0,82,58,81,0,221,0.005649717514124294
337,0,105030,8726,11218,0,0,95,87,0,0,0,118,91,68,0,277,0.0
321,0,64510,12311,14319,31,44,158,144,1,0,0,163,148,111,-13,422,0.09657320872274143
529,0,53011,25922,19146,22,31,189,157,1,1,0,187,138,181,-9,506,0.04158790170132325
343,0,153001,14490,14337,24,127,248,317,1,1,0,257,269,147,-103,673,0.06997084548104957
328,0,80969,12313,7882,3,41,133,122,0,0,0,155,162,91,-38,408,0.009146341463414634
249,0,49000,9069,7177,116,243,115,84,0,0,0,109,106,61,-127,276,0.46586345381526106
307,0,96269,10752,7291,4,4,177,145,1,0,0,145,125,64,0,334,0.013029315960912053
44,0,21061,1926,1592,55,92,19,0,0,0,0,40,19,16,-37,75,1.25
196,20,42274,8108,7408,207,333,169,167,0,0,1,148,179,79,-126,406,1.0561224489795917
132,0,111049,4398,5275,0,2,54,47,1,0,0,59,57,51,-2,167,0.0
584,78,191280,20854,20392,544,953,384,419,1,1,1,285,331,170,-409,786,0.9315068493150684
538,0,59478,25345,17328,310,550,204,230,1,0,0,228,234,214,-240,676,0.5762081784386617
319,0,47293,9696,5758,52,114,101,154,1,0,0,97,147,69,-62,313,0.16300940438871472
263,0,45561,10397,8056,33,34,154,150,1,1,0,168,157,104,-1,429,0.12547528517110265
64,0,3478,2403,2942,6,16,66,67,1,0,0,57,55,43,-10,155,0.09375
156,0,51359,4958,4089,70,71,51,34,0,0,0,75,36,71,-1,182,0.44871794871794873
327,22,185624,10367,6802,129,250,53,64,1,1,1,52,65,105,-121,222,0.3944954128440367
194,0,145561,8360,5407,235,500,125,181,1,1,0,154,186,95,-265,435,1.211340206185567
461,0,160557,11463,7654,0,0,107,79,1,1,0,93,102,97,0,292,0.0
346,0,65781,10920,8962,0,0,181,248,1,0,0,199,287,113,0,599,0.0
78,0,10207,2403,3326,5,5,90,97,1,0,0,100,101,82,0,283,0.0641025641025641
49,0,12009,1501,1783,145,155,29,26,1,0,0,33,40,45,-10,118,2.9591836734693877
230,0,50507,5498,5576,18,37,126,168,0,0,0,113,193,65,-19,371,0.0782608695652174
124,0,37675,4450,6510,105,207,95,107,0,1,0,81,95,57,-102,233,0.8467741935483871
320,20,24856,10087,9247,28,41,82,106,1,1,1,122,120,82,-13,324,0.0875
868,0,441628,32759,70297,325,665,116,89,1,1,0,118,79,121,-340,318,0.37442396313364057
228,0,93959,8363,9423,0,0,131,173,1,0,0,140,206,118,0,464,0.0
436,18,129003,15819,15292,49,99,163,180,1,0,1,181,160,116,-50,457,0.11238532110091744
353,0,61856,10052,11313,102,173,103,146,1,1,0,125,150,104,-71,379,0.28895184135977336
108,0,23661,6012,5384,119,144,83,94,0,0,0,83,100,83,-25,266,1.1018518518518519
229,18,56523,6266,6659,263,343,86,92,0,0,1,83,86,85,-80,254,1.148471615720524
217,0,25304,9291,7300,70,70,86,110,1,0,0,90,109,50,0,249,0.3225806451612903
245,45,91727,8299,7719,131,134,114,218,1,1,1,112,224,88,-3,424,0.5346938775510204
136,6,34806,5064,8413,109,230,49,78,0,0,1,64,85,33,-121,182,0.8014705882352942
153,21,18677,6256,10524,47,62,64,101,0,0,1,84,92,51,-15,227,0.30718954248366015
185,0,32680,3803,4241,1,5,91,94,0,0,0,92,107,41,-4,240,0.005405405405405406
138,0,28622,4802,5435,2,2,69,63,0,0,0,70,94,31,0,195,0.014492753623188406
88,0,43472,2473,2129,36,82,28,20,0,0,0,32,29,36,-46,97,0.4090909090909091
89,0,23478,3566,2873,67,84,52,43,0,0,0,49,50,48,-17,147,0.7528089887640449
178,0,48498,5597,3077,57,125,63,54,0,0,0,42,51,44,-68,137,0.3202247191011236
184,21,71777,7017,5193,3,6,34,32,0,0,1,36,24,53,-3,113,0.016304347826086956
301,15,120226,12203,10280,86,151,111,64,1,0,1,90,77,103,-65,270,0.2857142857142857
227,0,95048,10415,10654,13,18,99,61,1,0,0,91,61,87,-5,239,0.05726872246696035
519,46,78234,22086,11842,185,323,204,110,1,0,1,186,110,96,-138,392,0.35645472061657035
339,24,125423,11687,9077,16,72,305,251,1,0,1,331,247,98,-56,676,0.0471976401179941
532,0,229907,22912,14106,324,565,158,190,1,0,0,177,163,121,-241,461,0.6090225563909775
118,118,15018,986,0,102,175,0,0,1,0,1,0,0,0,-73,0,0.864406779661017
279,0,85177,11551,9788,29,54,172,274,0,0,0,123,253,67,-25,443,0.1039426523297491
359,30,174258,12646,8373,76,159,38,16,1,1,1,76,57,142,-83,275,0.2116991643454039
234,13,62510,9523,6804,33,39,37,15,1,0,1,13,2,8,-6,23,0.14102564102564102
236,0,142014,14906,9646,251,490,144,160,0,0,0,144,188,93,-239,425,1.0635593220338984
226,24,40600,8090,9248,0,0,114,103,0,0,1,108,111,112,0,331,0.0
147,10,51384,5362,4940,1,1,60,39,0,0,1,54,34,53,0,141,0.006802721088435374
234,20,187829,8727,8521,130,158,112,120,0,0,1,113,108,71,-28,292,0.5555555555555556
173,0,23465,4908,3952,0,0,74,127,0,0,0,70,140,42,0,252,0.0
429,24,98607,16450,14023,0,6,174,171,1,0,1,164,165,113,-6,442,0.0
333,0,21408,17536,8013,0,2,194,203,1,0,0,197,194,104,-2,495,0.0
496,26,353094,18405,35787,31,55,112,64,1,1,1,126,65,112,-24,303,0.0625
341,33,51339,13881,13386,224,248,232,293,1,0,1,270,312,128,-24,710,0.656891495601173
176,0,73169,7203,7142,55,84,88,124,1,0,0,93,112,33,-29,238,0.3125
120,0,40595,5527,5641,24,79,116,113,0,0,0,122,101,62,-55,285,0.2
268,16,49663,11700,10902,204,240,183,164,1,0,1,179,177,129,-36,485,0.7611940298507462
524,21,62181,17692,8392,153,240,187,230,1,0,1,186,195,129,-87,510,0.2919847328244275
133,0,24588,4740,4142,2,2,69,67,0,0,0,54,72,42,0,168,0.015037593984962405
168,0,25858,4826,3401,44,79,43,49,0,0,0,48,38,75,-35,161,0.2619047619047619
65,8,14403,3895,3485,14,14,38,29,0,0,1,43,42,32,0,117,0.2153846153846154
351,19,67114,14885,11049,50,132,143,180,1,0,1,194,150,160,-82,504,0.14245014245014245
254,15,37783,8204,4136,1,9,69,76,1,0,1,85,51,95,-8,231,0.003937007874015748
306,24,67044,8216,7272,16,32,123,101,1,0,1,113,127,120,-16,360,0.05228758169934641
208,0,62718,6528,4560,1,1,78,86,1,0,0,101,98,49,0,248,0.004807692307692308
69,0,12932,2936,2209,1,1,75,85,0,0,0,73,77,61,0,211,0.014492753623188406
158,0,42274,6843,7573,27,55,70,72,1,0,0,84,87,53,-28,224,0.17088607594936708
292,27,123889,8331,6691,10,20,85,149,1,0,1,103,105,70,-10,278,0.03424657534246575
279,16,68280,9188,6819,12,50,262,349,0,0,1,239,400,71,-38,710,0.043010752688172046
84,0,10800,2576,2085,38,47,56,78,0,0,0,38,60,25,-9,123,0.4523809523809524
48,0,2880,2876,3722,2,2,67,67,0,0,0,62,64,15,0,141,0.041666666666666664
316,16,265635,15527,7835,2,2,56,25,1,0,1,35,14,85,0,134,0.006329113924050633
341,0,0,15527,8156,66,97,120,128,1,1,0,124,101,77,-31,302,0.1935483870967742
385,19,10875,19430,13462,7,7,145,134,1,0,1,188,143,105,0,436,0.01818181818181818
97,22,0,582,0,27,41,0,0,1,0,1,0,0,0,-14,0,0.27835051546391754
168,0,19796,7781,5522,70,104,125,157,0,0,0,127,154,62,-34,343,0.4166666666666667
179,0,65484,10715,5900,26,48,85,83,0,0,0,95,89,74,-22,258,0.1452513966480447
140,0,1393,8795,7786,4,4,47,76,0,0,0,53,62,24,0,139,0.02857142857142857
105,0,2686,4675,4662,12,13,109,145,0,0,0,104,115,68,-1,287,0.11428571428571428
696,38,67697,32218,22542,5,8,260,202,1,0,1,286,220,218,-3,724,0.007183908045977011
361,8,245452,19426,12654,170,205,147,127,1,1,1,146,112,117,-35,375,0.4709141274238227
635,0,291044,15742,10377,374,394,97,124,1,0,0,103,126,66,-20,295,0.5889763779527559
409,24,137486,24467,16793,0,0,142,140,1,1,1,140,148,190,0,478,0.0
370,21,4911,17708,14058,39,44,188,146,1,1,1,120,115,121,-5,356,0.10540540540540541
217,0,35685,10234,10439,2,3,78,56,0,0,0,72,55,54,-1,181,0.009216589861751152
307,0,31358,19248,17352,1,2,204,219,0,0,0,192,202,187,-1,581,0.003257328990228013
426,20,0,12930,7051,0,0,204,173,1,0,1,258,158,123,0,539,0.0
553,20,340383,17462,11662,7,15,82,53,1,0,1,89,46,36,-8,171,0.012658227848101266
175,0,59132,3878,2734,17,17,10,4,0,1,0,19,4,24,0,47,0.09714285714285714
247,0,40880,8840,9384,1,14,174,163,1,1,0,174,142,109,-13,425,0.004048582995951417
165,32,4745,3133,3998,4,12,1,4,1,0,1,2,0,1,-8,3,0.024242424242424242
306,0,90292,13774,9311,1,3,245,212,1,0,0,231,256,115,-2,602,0.0032679738562091504
985,58,9540,34157,26216,62,65,671,493,1,1,1,548,303,278,-3,1129,0.06294416243654823
474,0,13250,17462,18490,40,54,353,601,1,0,0,583,538,34,-14,1155,0.08438818565400844
182,0,43598,7046,6368,48,90,120,105,0,0,0,128,136,101,-42,365,0.26373626373626374
91,0,5135,2311,1476,47,47,9,6,0,1,0,23,15,17,0,55,0.5164835164835165
140,0,21600,5029,5229,17,24,175,223,0,0,0,160,185,88,-7,433,0.12142857142857143
377,26,4379,15389,10491,1,6,159,142,0,1,1,168,177,105,-5,450,0.002652519893899204
108,0,27771,3907,4000,0,0,109,100,0,0,0,95,83,90,0,268,0.0
162,0,4101,6006,3806,43,82,85,89,0,0,0,106,88,55,-39,249,0.2654320987654321
30,0,24131,1094,1065,76,126,4,0,0,0,0,7,0,1,-50,8,2.533333333333333
61,0,27321,3333,2588,1,1,46,68,0,0,0,62,60,46,0,168,0.01639344262295082
98,0,32850,5118,4547,33,33,97,102,0,0,0,99,70,42,0,211,0.336734693877551
158,10,11186,5104,3904,54,54,59,50,1,0,1,67,50,75,0,192,0.34177215189873417
407,44,79916,14737,7639,49,83,242,356,1,0,1,198,247,95,-34,540,0.12039312039312039
476,28,71414,17090,13544,0,0,314,406,1,0,1,318,354,115,0,787,0.0
96,0,60788,4191,3644,1,1,33,46,0,0,0,45,55,41,0,141,0.010416666666666666
203,0,67785,7453,4673,0,0,95,131,1,0,0,98,86,90,0,274,0.0
379,51,2087,13876,8562,20,28,117,114,0,0,1,169,154,89,-8,412,0.052770448548812667
192,18,26400,7598,4682,116,150,183,210,1,0,1,131,168,71,-34,370,0.6041666666666666
101,0,11735,3871,4524,2,7,63,137,1,0,0,73,154,35,-5,262,0.019801980198019802
374,0,11759,14629,7086,5,29,188,140,1,1,0,193,98,107,-24,398,0.013368983957219251
287,0,33125,11812,9580,349,483,180,145,1,0,0,203,172,105,-134,480,1.21602787456446
274,12,45801,10184,14185,15,15,121,126,1,1,1,107,119,90,0,316,0.05474452554744526
239,0,92750,7505,7386,8,10,56,53,1,1,0,77,90,54,-2,221,0.03347280334728033
170,0,11660,5097,4043,0,25,80,69,1,0,0,89,68,73,-25,230,0.0
172,0,22623,4041,5039,5,10,58,61,1,0,0,48,69,45,-5,162,0.029069767441860465
99,0,0,2775,3434,47,87,55,23,0,0,0,63,29,30,-40,122,0.47474747474747475
282,0,22870,11351,7475,194,291,210,217,0,1,0,196,204,118,-97,518,0.6879432624113475
266,0,22246,8747,6386,183,256,105,93,0,1,0,151,99,82,-73,332,0.6879699248120301
162,0,64240,5742,3833,128,132,77,44,0,0,0,60,40,81,-4,181,0.7901234567901234
302,0,38406,9109,5535,88,108,100,79,0,0,0,80,66,84,-20,230,0.2913907284768212
99,0,28052,5933,3408,0,3,53,40,0,0,0,68,34,44,-3,146,0.0
86,0,19908,4599,2925,10,10,88,71,0,0,0,95,73,62,0,230,0.11627906976744186
123,0,67350,5323,4449,65,129,57,63,0,0,0,61,53,34,-64,148,0.5284552845528455
213,0,28716,8339,7404,133,235,152,123,0,0,0,168,103,86,-102,357,0.6244131455399061
107,0,62057,5453,4158,25,31,64,46,0,0,0,68,50,56,-6,174,0.2336448598130841
430,0,119250,19501,8585,205,322,194,157,0,1,0,171,149,144,-117,464,0.47674418604651164
379,32,9262,17678,9379,56,61,69,55,1,1,1,64,54,75,-5,193,0.14775725593667546
154,0,36933,7612,6078,9,23,42,45,0,1,0,41,38,51,-14,130,0.05844155844155844
180,0,41955,6845,5614,2,2,64,47,0,1,0,61,46,77,0,184,0.011111111111111112
250,0,7161,9094,5445,85,93,72,43,1,1,0,84,48,38,-8,170,0.34
154,0,3425,8511,6182,0,1,41,42,0,1,0,48,69,42,-1,159,0.0
175,0,36010,8659,5368,19,29,53,31,0,1,0,45,30,65,-10,140,0.10857142857142857
158,24,66423,6659,4771,100,240,50,38,1,1,1,55,32,69,-140,156,0.6329113924050633
657,44,2315,29508,16600,166,201,204,162,1,1,1,196,210,184,-35,590,0.2526636225266362
261,0,2302,8826,5722,129,144,158,79,1,1,0,124,59,66,-15,249,0.4942528735632184
229,15,26517,9251,6091,27,35,42,25,0,1,1,46,39,51,-8,136,0.11790393013100436
279,0,28002,9516,9261,33,33,66,56,0,0,0,55,58,60,0,173,0.11827956989247312
152,0,21880,3419,3018,3,3,15,19,1,1,0,26,21,28,0,75,0.019736842105263157
111,0,30590,4135,3048,61,87,43,23,0,1,0,42,22,60,-26,124,0.5495495495495496
331,0,183050,14495,13007,14,53,79,84,0,1,0,67,99,69,-39,235,0.04229607250755287
211,0,40532,6496,5315,29,43,45,16,0,1,0,41,40,65,-14,146,0.13744075829383887
382,0,94660,14626,11677,199,314,110,121,0,0,0,132,96,115,-115,343,0.5209424083769634
118,0,18398,6607,4804,43,59,65,24,0,1,0,57,26,59,-16,142,0.3644067796610169
122,0,10109,3472,2682,10,26,15,7,0,1,0,12,3,23,-16,38,0.08196721311475409
570,0,135602,31831,14169,4,5,146,194,1,1,0,133,167,125,-1,425,0.007017543859649123
254,0,3142,9696,6046,90,106,55,42,0,1,0,40,31,65,-16,136,0.3543307086614173
